0,Secounds,Amps,Volt
0,0,0,0
0,1,0,0
0,2,0,0
0,3,0,0
0,4,0,0
0,5,0,0
0,6,0,0
0,7,0,0
0,8,0,0
0,9,0,0
0,10,0,0
0,11,0,0
0,12,0,0
0,13,0,0
0,14,0,0
0,15,0,0
0,16,0,0
0,17,0,12.8
0,18,0,12.8
0,19,0,12.8
0,20,0,12.8
0,21,0,12.8
0,22,0,12.8
0,23,0,12.8
0,24,0,12.8
0,25,0,12.8
0,26,0,12.8
0,27,0,12.8
0,28,0,12.8
0,29,0,12.8
0,30,0,12.8
0,31,0,12.8
0,32,0,12.8
0,33,0,12.8
0,34,0,12.8
0,35,18.83,12.2
0,36,16.43,12.3
0,37,16.4,12.2
0,38,16.38,12.1
0,39,16.33,12.1
0,40,16.3,12.1
0,41,16.26,12.1
0,42,16.24,12
0,43,16.22,12
0,44,16.2,12
0,44,16.18,12
0,45,16.17,12
0,46,16.16,12
0,47,16.15,12
0,48,16.14,12
0,49,16.13,12
0,50,16.12,12
0,51,16.11,12
0,52,16.11,12
0,53,16.1,12
0,54,16.09,12
0,55,16.08,12
0,56,16.08,12
0,56,16.07,12
0,57,16.06,12
0,58,16.06,12
0,59,16.05,12
0,60,16.04,12
0,61,16.03,12
0,62,16.03,12
0,63,16.02,12
0,64,16.02,12
0,65,16.01,12
0,66,16,12
0,67,16,12
0,68,15.99,12
0,69,15.99,12
0,69,15.98,12
0,70,15.97,12
0,71,15.97,12
0,72,15.97,12
0,73,15.97,12
0,74,15.97,12
0,75,15.96,12
0,76,15.96,12
0,77,15.95,12
0,78,15.95,12
0,79,15.95,12
0,80,15.94,12
0,81,15.94,12
0,82,15.94,12
0,82,15.93,12
0,83,15.93,12
0,84,15.93,12
0,85,15.92,12
0,86,15.92,12
0,87,15.92,12
0,88,15.92,12
0,89,15.91,12
0,90,15.91,12
0,91,15.91,12
0,92,15.91,12
0,93,15.91,12
0,94,15.9,12
0,95,15.9,12
0,96,15.9,12
0,97,15.89,12
0,98,15.89,12
0,99,15.89,12
0,100,15.89,12
0,101,15.89,12
0,102,15.89,12
0,103,15.88,12
0,104,15.88,12
0,105,15.88,12
0,106,15.88,12
0,107,15.87,12
0,108,15.87,12
0,109,15.87,12
0,110,15.87,12
0,111,15.87,12
0,112,15.86,12
0,113,15.86,12
0,114,15.86,12
0,115,15.86,12
0,116,15.85,12
0,117,15.86,12
0,118,15.85,12
0,119,15.85,12
0,120,15.85,12
0,120,15.84,12
0,121,15.84,12
0,122,15.84,12
0,123,15.84,12
0,124,15.84,12
0,125,15.84,12
0,126,15.83,12
0,127,15.83,12
0,128,15.83,12
0,129,15.83,12
0,130,15.83,12
0,131,15.83,12
0,132,15.83,12
0,133,15.82,12
0,134,15.82,12
0,135,15.82,12
0,136,15.82,12
0,137,15.82,12
0,138,15.81,12
0,139,15.81,12
0,140,15.81,12
0,141,15.81,12
0,142,15.81,12
0,143,15.81,12
0,144,15.81,12
0,145,15.81,12
0,146,15.81,12
0,147,15.8,12
0,148,15.8,12
0,149,15.8,12
0,150,15.8,12
0,151,15.8,12
0,152,15.8,12
0,153,15.79,12
0,154,15.79,12
0,155,15.79,12
0,156,15.79,12
0,157,15.78,12
0,158,15.78,12
0,159,15.78,12
0,160,15.78,12
0,161,15.78,12
0,162,15.78,12
0,163,15.78,12
0,164,15.78,12
0,165,15.78,12
0,166,15.78,12
0,167,15.77,12
0,168,15.77,12
0,169,15.77,12
0,170,15.76,12
0,171,15.76,12
0,172,15.76,12
0,173,15.76,12
0,174,15.76,12
0,175,15.76,12
0,176,15.76,12
0,177,15.76,12
0,178,15.76,12
0,179,15.76,12
0,180,15.76,12
0,181,15.76,12
0,182,15.76,12
0,183,15.76,12
0,184,15.76,12
0,185,15.76,12
0,186,15.75,12
0,187,15.75,12
0,188,15.75,12
0,189,15.75,12
0,190,15.75,12
0,191,15.75,12
0,192,15.75,12
0,193,15.75,12
0,194,15.75,12
0,195,15.75,12
0,196,15.74,12
0,197,15.75,12
0,198,15.74,12
0,199,15.74,12
0,200,15.74,12
0,201,15.74,12
0,202,15.74,12
0,203,15.74,12
0,204,15.74,12
0,205,15.74,12
0,206,15.74,12
0,207,15.74,12
0,208,15.74,12
0,209,15.74,12
0,210,15.74,12
0,211,15.74,12
0,212,15.73,12
0,213,15.73,12
0,214,15.73,12
0,215,15.73,12
0,216,15.73,12
0,217,15.73,12
0,218,15.74,12
0,219,15.73,12
0,220,15.73,12
0,221,15.73,12
0,222,15.73,12
0,223,15.73,12
0,224,15.73,12
0,225,15.73,12
0,226,15.73,12
0,227,15.73,12
0,228,15.73,12
0,229,15.73,12
0,230,15.73,12
0,231,15.73,12
0,232,15.73,12
0,233,15.73,12
0,234,15.73,12
0,235,15.73,12
0,236,15.73,12
0,237,15.72,12
0,238,15.72,12
0,239,15.72,12
0,240,15.72,12
0,241,15.72,12
0,242,15.72,12
0,243,15.72,12
0,244,15.72,12
0,245,15.72,12
0,246,15.72,12
0,247,15.72,12
0,248,15.72,12
0,249,15.72,12
0,250,15.72,12
0,251,15.72,12
0,252,15.72,12
0,253,15.72,12
0,254,15.72,12
0,255,15.71,12
0,256,15.72,12
0,257,15.71,12
0,258,15.71,12
0,259,15.71,12
0,260,15.71,12
0,261,15.72,12
0,262,15.72,12
0,263,15.72,12
0,264,15.72,12
0,265,15.72,12
0,266,15.72,12
0,267,15.72,12
0,268,15.72,12
0,269,15.72,12
0,270,15.72,12
0,271,15.72,12
0,272,15.72,12
0,273,15.72,12
0,274,15.72,12
0,275,15.72,12
0,276,15.72,12
0,277,15.72,12
0,278,15.72,12
0,279,15.72,12
0,280,15.72,12
0,281,15.72,12
0,282,15.72,12
0,283,15.72,12
0,284,15.72,12
0,285,15.72,12
0,285,15.71,12
0,286,15.71,12
0,287,15.71,12
0,288,15.71,12
0,289,15.71,12
0,290,15.71,12
0,291,15.71,12
0,292,15.71,12
0,293,15.71,12
0,294,15.71,12
0,295,15.71,12
0,296,15.71,12
0,297,15.71,12
0,298,15.71,12
0,298,15.71,12
0,299,15.71,12
0,300,15.71,12
0,301,15.71,12
0,302,15.7,12
0,303,15.7,12
0,304,15.7,12
0,305,15.71,12
0,306,15.7,12
0,307,15.71,12
0,308,15.7,12
0,309,15.7,12
0,310,15.7,12
0,311,15.7,12
0,312,15.7,12
0,313,15.7,12
0,314,15.7,12
0,315,15.7,12
0,316,15.7,12
0,317,15.7,12
0,318,15.7,12
0,319,15.7,12
0,320,15.7,12
0,321,15.7,12
0,322,15.7,12
0,323,15.7,12
0,324,15.7,12
0,325,15.7,12
0,326,15.7,12
0,327,15.7,12
0,328,15.7,12
0,329,15.7,12
0,330,15.7,12
0,331,15.69,12
0,332,15.7,12
0,333,15.69,12
0,334,15.69,12
0,335,15.69,12
0,336,15.69,12
0,337,15.69,12
0,338,15.69,12
0,339,15.69,12
0,340,15.69,12
0,341,15.69,12
0,342,15.69,12
0,343,15.69,12
0,344,15.69,12
0,345,15.69,12
0,346,15.69,12
0,347,15.69,12
0,348,15.69,12
0,349,15.69,12
0,350,15.69,12
0,351,15.68,12
0,352,15.68,12
0,353,15.68,12
0,354,15.68,12
0,355,15.68,12
0,356,15.68,12
0,357,15.68,12
0,358,15.68,12
0,359,15.68,12
0,360,15.68,12
0,361,15.68,12
0,362,15.68,12
0,363,15.68,12
0,364,15.68,12
0,365,15.68,12
0,366,15.68,12
0,367,15.68,12
0,368,15.68,12
0,369,15.68,12
0,370,15.68,12
0,371,15.68,12
0,372,15.68,12
0,373,15.67,12
0,374,15.67,12
0,375,15.67,12
0,376,15.67,12
