,0,1,2
0,,"
",
0,Secounds,Amps,Volt
0,0,0.00,0.0
0,1,0.00,0.0
0,2,0.00,0.0
0,3,0.00,0.0
0,4,3.33,7473.5
0,5,3.33,7473.5
0,6,3.33,7473.5
0,7,3.33,7473.5
0,8,3.34,7473.5
0,9,3.34,7473.5
0,10,3.34,7473.5
0,11,3.34,7473.5
0,12,3.34,7473.5
0,13,3.34,7473.5
0,14,3.34,7473.5
0,15,3.34,7473.5
0,16,3.34,7473.5
0,17,3.34,7464.9
0,18,3.34,7473.5
0,18,3.34,7464.9
0,19,3.34,7464.9
0,20,3.34,7464.9
0,21,3.34,7464.9
0,22,3.34,7464.9
0,23,3.34,7464.9
0,24,1.06,7464.9
0,25,-0.00,0.0
0,26,0.00,0.0
0,27,-0.00,0.0
0,28,0.00,0.0
0,29,-0.00,0.0
0,30,-0.00,0.0
0,31,-0.00,0.0
0,31,0.00,0.0
0,32,0.00,0.0
